Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-12-27,TTW,602,TPE,ICN,1,B1,1,,false,,2024-12-27T20:00,2024-12-27T19:55,,,,,2024-12-27T23:30,2024-12-27T23:24,Airbus A320,,18D,AISLE,ECONOMY,LEISURE,,ec8312d3-447f-4a36-b2cb-86a4ba926baa,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-01-02,TTW,603,ICN,TPE,1,,1,B5,false,,2025-01-02T00:30,2025-01-02T00:40,,,,,2025-01-02T02:15,,Airbus A320neo,,25A,WINDOW,ECONOMY,LEISURE,,4329365c-2cb2-4f9d-b196-c317fea4a46e,b1569824-3183-4857-9eb7-644259fa9431,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,1a0ff314-4db9-43eb-aef0-59d40b78505b,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-01-19,EVA,215,TPE,SIN,2,C2,3,B7,false,,2025-01-19T09:35,2025-01-19T09:36,,,,,2025-01-19T14:30,2025-01-19T14:19,Boeing 777-300 ER,,2D,AISLE,BUSINESS,LEISURE,,a460c268-aaf8-4786-a13c-ee14aa53eab1,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,0408c509-a410-4361-806b-eebecfea9bc1,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-01-19,SIA,227,SIN,MEL,3,A11,2,20,false,,2025-01-19T21:50,2025-01-19T21:56,,,,,2025-01-20T08:15,,Boeing 777-300 ER,,16D,AISLE,BUSINESS,LEISURE,,40318dcb-241c-4df5-a894-f219c4c1ef0a,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,abdb643a-f7ba-4564-a003-40b64a7a01b2,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-01-27,VOZ,755,MEL,OOL,3,7,1,20,false,,2025-01-27T18:20,2025-01-27T18:35,,,,,2025-01-27T19:30,2025-01-27T20:08,Boeing 737-800,,5F,WINDOW,ECONOMY,LEISURE,,67c5e3ae-b317-4620-8944-fabc1b34dcf0,2b596251-7ba3-4470-a4bf-845085839443,abdb643a-f7ba-4564-a003-40b64a7a01b2,40b8c35a-f5e7-494a-8a37-d68a850c0ffb,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-02-01,SIA,246,BNE,SIN,I,81,2,F50,false,,2025-02-01T23:25,2025-02-01T23:25,,,,,2025-02-02T05:05,,Airbus A350-900,,21D,AISLE,BUSINESS,LEISURE,,e8804993-9779-4848-9b90-7101348cd615,30242dfb-68a4-4ee8-8055-f967ba273f38,d0a07fb4-918a-4e7f-aeb2-3efb7649214a,0408c509-a410-4361-806b-eebecfea9bc1,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-02-02,SIA,876,SIN,TPE,3,A2,2,D5,false,,2025-02-02T08:10,2025-02-02T08:17,,,,,2025-02-02T12:55,2025-02-02T12:43,Boeing 787-10,,15D,AISLE,BUSINESS,LEISURE,,63757523-54a2-4698-af95-6b19c978ff4d,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,1a0ff314-4db9-43eb-aef0-59d40b78505b,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2025-03-28,CPA,479,TPE,HKG,1,B6,1,,false,,2025-03-28T21:15,2025-03-28T21:37,,,,,2025-03-28T23:25,2025-03-28T23:46,Boeing 777-300,,41F,AISLE,ECONOMY,LEISURE,,fe8903d6-9914-4134-b725-4f7e04664bf6,8508d82c-f03a-4c99-88d8-46ede5aceb6d,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,41adc260-cf8e-4245-a647-67b85d4348b6
2025-03-29,CPA,880,HKG,LAX,1,32,B,,false,,2025-03-29T00:25,2025-03-29T00:32,,,,,2025-03-28T21:55,2025-03-28T22:10,Boeing 777-300 ER,,43E,MIDDLE,ECONOMY,LEISURE,,c5733efd-eb09-4ae6-a4a8-e3fe04167f95,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,25b8d712-9888-423f-868d-b25f1d184aaf,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-04-06,CPA,885,LAX,HKG,TBIT,150,1,,false,,2025-04-06T12:25,2025-04-06T14:29,,,,,2025-04-07T18:55,2025-04-07T21:04,Boeing 777-300 ER,,44E,MIDDLE,ECONOMY,LEISURE,,ef678922-c751-48a7-a77f-b101bd7fc7d5,8508d82c-f03a-4c99-88d8-46ede5aceb6d,25b8d712-9888-423f-868d-b25f1d184aaf,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-04-07,CPA,408,HKG,TPE,1,70,1,B8,false,,2025-04-07T22:50,2025-04-07T22:46,,,,,2025-04-08T00:35,2025-04-08T00:16,Airbus A330-300,,44K,WINDOW,ECONOMY,LEISURE,,51d8e658-fd38-4cac-8755-ba004a78fe1a,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2025-07-18,TGW,870,TPE,NRT,1,B4,1,33,false,,2025-07-18T15:30,2025-07-18T15:25,,,,,2025-07-18T19:55,2025-07-18T19:58,Boeing 787-9,,35D,AISLE,ECONOMY,LEISURE,,49562ae4-166c-4cdc-bc09-b5b3564a125b,446c3088-b05f-4f6f-8c7d-fa945859c8b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,42cbe764-fc30-49b0-9e72-eca5f6c21767,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2025-07-21,TGW,871,NRT,TPE,1,33,1,B8,false,,2025-07-21T21:10,2025-07-21T21:09,,,,,2025-07-22T00:20,2025-07-21T23:33,Boeing 787-9,,11B,MIDDLE,ECONOMY,LEISURE,,5663744d-908b-47f7-9859-edbc0529467c,446c3088-b05f-4f6f-8c7d-fa945859c8b7,42cbe764-fc30-49b0-9e72-eca5f6c21767,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2025-10-04,DAL,68,TPE,SEA,2,D7,Main,S16,false,,2025-10-04T09:40,2025-10-04T09:37,,,,,2025-10-04T06:00,2025-10-04T05:27,Airbus A350-900,,40C,AISLE,ECONOMY,LEISURE,,281821a7-7657-497f-96f5-5ae47e0fd734,a8765091-d043-44b1-936c-d217bb519e56,1a0ff314-4db9-43eb-aef0-59d40b78505b,b3f217fd-4bc7-4806-9efe-abe9446a74df,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-10-08,WJA,108,YVR,YYC,D,B17,Main,C56,false,,2025-10-08T10:30,2025-10-08T10:22,,,,,2025-10-08T13:01,2025-10-08T12:43,Boeing 737-800,,11A,WINDOW,ECONOMY,LEISURE,,62506dd6-caa8-45ab-a408-f6aaa4fd6fb3,5af6212f-9d69-4cba-971b-d20f2c3bab21,c71de46b-62e9-43fb-83e7-1f44a3a393fe,36b39d54-6daa-4e19-952c-7c6e8783c00f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-10-12,WJA,221,YYC,YZF,Main,A12,MA,6,false,,2025-10-12T11:00,2025-10-12T11:10,,,,,2025-10-12T13:13,2025-10-12T13:32,Boeing 737-700,,16B,MIDDLE,ECONOMY,LEISURE,,a308a496-7225-4319-b82b-b19b2b771c73,5af6212f-9d69-4cba-971b-d20f2c3bab21,36b39d54-6daa-4e19-952c-7c6e8783c00f,7bde85eb-9311-4581-b8c4-2adf038a19d3,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-10-15,WJA,222,YZF,YYC,MA,2A,Main,C56,false,,2025-10-15T14:00,2025-10-15T14:17,,,,,2025-10-15T16:09,2025-10-15T16:19,Boeing 737 MAX 8,,13A,WINDOW,ECONOMY,LEISURE,,7e48c661-f70e-4a95-9602-e03dfa441a3c,5af6212f-9d69-4cba-971b-d20f2c3bab21,7bde85eb-9311-4581-b8c4-2adf038a19d3,36b39d54-6daa-4e19-952c-7c6e8783c00f,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-10-15,WJA,3616,YYC,SEA,Main,E71,Main,D20,false,,2025-10-15T18:10,2025-10-15T18:25,,,,,2025-10-15T19:21,2025-10-15T19:29,DHC-8-400 Dash 8Q,,14C,AISLE,ECONOMY,LEISURE,,d1b18446-f05a-44a6-add6-e57d8903b8fb,5af6212f-9d69-4cba-971b-d20f2c3bab21,36b39d54-6daa-4e19-952c-7c6e8783c00f,b3f217fd-4bc7-4806-9efe-abe9446a74df,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2025-10-19,DAL,69,SEA,TPE,Main,A12,2,D6,false,,2025-10-19T15:40,2025-10-19T15:58,,,,,2025-10-20T19:55,2025-10-20T21:03,Airbus A350-900,,37A,WINDOW,ECONOMY,LEISURE,,63d43678-d2e7-413b-81fb-ea2c8e545afc,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,1a0ff314-4db9-43eb-aef0-59d40b78505b,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2026-01-16,UIA,9109,TSA,MZG,2,,,,false,,2026-01-16T19:10,2026-01-16T19:09,,,,,2026-01-16T20:10,2026-01-16T20:15,ATR 72,,5K,WINDOW,ECONOMY,LEISURE,,2e01472a-69f4-45df-afd5-49f432e41b80,b3849d4c-a731-4cd9-95b1-0313a7548297,9bd91845-9562-46d6-8851-76ee27cb14d4,05789f5f-be41-46d3-a2b6-5c8773379786,,00069458-a1cb-42ac-889d-8c259cc8e679
2026-01-18,UIA,8622,MZG,TSA,,,2,,false,,2026-01-18T17:30,,,,,,2026-01-18T18:20,2026-01-18T18:20,Airbus A321,,36B,MIDDLE,ECONOMY,LEISURE,,7bd5d3ab-166e-427e-82df-a93854dc6fe8,b3849d4c-a731-4cd9-95b1-0313a7548297,05789f5f-be41-46d3-a2b6-5c8773379786,9bd91845-9562-46d6-8851-76ee27cb14d4,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-03-28,APG,125,TPE,MNL,T1,B1,T3,,false,,2026-03-28T09:45,2026-03-28T09:46,,,,,2026-03-28T12:10,2026-03-28T12:14,Airbus A320,,10D,AISLE,ECONOMY,LEISURE,,c931d30b-3ba1-490b-9305-504592857e08,6ddd1cf1-9202-4620-a0ba-edcca9046f18,1a0ff314-4db9-43eb-aef0-59d40b78505b,0b6320ae-d6b5-4c1f-9a06-47654243893b,,dd390a1f-e92a-4411-ab72-04db16d42030
2026-03-29,THY,85,MNL,IST,3,,,,false,,2026-03-29T21:25,2026-03-29T21:24,,,,,2026-03-30T05:05,2026-03-30T05:05,Boeing 777-300 ER,,33D,AISLE,ECONOMY,LEISURE,,b2e6a044-be2d-4120-9686-53b8c2a83116,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,0b6320ae-d6b5-4c1f-9a06-47654243893b,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,78eac566-1ad0-4ded-9979-9510dfde05f2
2026-03-30,THY,1391,IST,BOD,,D4,A,,false,,2026-03-30T15:00,2026-03-30T14:59,,,,,2026-03-30T17:55,2026-03-30T17:23,Airbus A321neo,,18A,WINDOW,ECONOMY,LEISURE,,6d30b5e0-780d-4345-ba0b-a65d0945f080,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,28529683-cecf-4a1e-9558-2ded3abac59a,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2026-04-01,EZY,1642,BOD,NCE,BILLI L,32,T2,,false,,2026-04-01T16:50,2026-04-01T18:02,,,,,2026-04-01T18:15,2026-04-01T19:28,Airbus A320,,19A,WINDOW,ECONOMY,LEISURE,,f9fd3b85-436d-4635-aa56-cb74955267b2,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,28529683-cecf-4a1e-9558-2ded3abac59a,a2d5a3c5-791c-435d-8ff4-26072d77f630,,dd390a1f-e92a-4411-ab72-04db16d42030
2026-04-05,EZY,1697,NCE,VCE,2,,,,false,,2026-04-05T11:15,2026-04-05T11:04,,,,,2026-04-05T12:25,2026-04-05T12:04,Airbus A320,,19D,AISLE,ECONOMY,LEISURE,,9a4494b8-7fc4-4dc1-a58b-4193f389e161,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,a2d5a3c5-791c-435d-8ff4-26072d77f630,e184c2ae-d608-40a5-9337-894f4fc8286f,,dd390a1f-e92a-4411-ab72-04db16d42030
2026-04-11,THY,1868,VCE,IST,T1,C46,I,,false,,2026-04-11T09:20,2026-04-11T09:41,,,,,2026-04-11T12:55,2026-04-11T13:07,Airbus A321neo,,19A,WINDOW,ECONOMY,LEISURE,,cabad424-7eb9-46e2-bdd6-43bc7e38ee69,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,e184c2ae-d608-40a5-9337-894f4fc8286f,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2026-04-11,THY,124,IST,TPE,,D8,2,D8,false,,2026-04-11T15:50,2026-04-11T20:00,,,,,2026-04-12T08:05,2026-04-12T11:06,Boeing 787-9,,23H,AISLE,ECONOMY,LEISURE,,6472f739-7533-4a20-b355-ce3f4630a722,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-05-07,HKE,117,TPE,HKG,1,A3,1,206,false,,2026-05-07T21:25,2026-05-07T21:09,,,,,2026-05-07T23:20,2026-05-07T22:48,Airbus A321neo,,38E,MIDDLE,ECONOMY,LEISURE,,e1ba4807-c1a3-419c-a66c-94effd879b90,665a54fa-0b6e-4086-abe4-2a6b2dd5c1e5,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2026-05-10,AAR,746,HKG,ICN,T1,61,T2,261,false,,2026-05-10T01:40,2026-05-10T01:31,,,,,2026-05-10T06:20,2026-05-10T06:04,Airbus A330-300,,3C,AISLE,BUSINESS,LEISURE,,05d6e071-d15c-4190-95f4-4a9c66146f5a,3c484b30-2d33-4171-9aa8-5496efac3560,7da61aa8-3d56-411b-8be5-50a198e86c60,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2026-05-10,AAR,711,ICN,TPE,T2,268,T2,D6,false,,2026-05-10T08:35,2026-05-10T12:00,,,,,2026-05-10T10:25,2026-05-10T13:32,Airbus A380,,14A,WINDOW,BUSINESS,LEISURE,,24651565-bde3-4170-93ae-725c59b28287,3c484b30-2d33-4171-9aa8-5496efac3560,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,1a0ff314-4db9-43eb-aef0-59d40b78505b,,b8eb326f-91a9-4135-9759-93f73428b24f
2026-08-22,TGW,867,TPE,SIN,1,,1,,false,,2026-08-22T16:15,,,,,,2026-08-22T20:45,,Boeing 787-9,,,,,,,114f36fc-8d62-4af5-8845-24b34c97c606,446c3088-b05f-4f6f-8c7d-fa945859c8b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,0408c509-a410-4361-806b-eebecfea9bc1,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-08-22,TGW,28,SIN,PER,1,,1,,false,,2026-08-22T23:10,,,,,,2026-08-23T04:20,,Boeing 787-8,,,,,,,da1b448b-2878-4dfc-8dc6-88ffe91dfc07,446c3088-b05f-4f6f-8c7d-fa945859c8b7,0408c509-a410-4361-806b-eebecfea9bc1,588c8a66-4181-43a9-a1a6-cae60c1dd20c,,4f948d40-962a-4fdf-b1d9-424282d24f76
2026-08-29,TGW,9,PER,SIN,1,,1,,false,,2026-08-29T18:25,,,,,,2026-08-29T23:45,,Boeing 787-9,,,,,,,4ed15188-9063-4fa6-b6be-207c94522eee,446c3088-b05f-4f6f-8c7d-fa945859c8b7,588c8a66-4181-43a9-a1a6-cae60c1dd20c,0408c509-a410-4361-806b-eebecfea9bc1,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-08-30,TGW,866,SIN,TPE,1,,1,,false,,2026-08-30T01:00,,,,,,2026-08-30T05:45,,Boeing 787-9,,,,,,,5b27a828-5119-4062-95fc-7cd43f709be8,446c3088-b05f-4f6f-8c7d-fa945859c8b7,0408c509-a410-4361-806b-eebecfea9bc1,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-10-09,EVA,170,TPE,ICN,2,,1,,false,,2026-10-09T07:30,,,,,,2026-10-09T11:00,,Boeing 787-9,,55K,WINDOW,ECONOMY,LEISURE,,7df47374-35b7-4eca-8799-9fba815f6820,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-10-09,QTR,863,ICN,DOH,1,,,,false,,2026-10-09T18:30,,,,,,2026-10-09T23:00,,Airbus A350-1000,,,,,,,88658db4-4c5a-4913-ac8c-13448335903f,bbe2cc40-79ca-446a-8105-cbb932b064f0,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,570ae63e-c342-4fdb-b344-554184c13f1b,,471867c0-706e-4127-b1aa-ff84ebeae8f3
2026-10-10,QTR,27,DOH,MAN,,,2,,false,,2026-10-10T08:00,,,,,,2026-10-10T13:20,,Airbus A350-1000,,,,,,,4714bc4a-c6fa-4ac1-984d-8d2b4776d40e,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,0f6792c2-c1b7-4356-9607-b64656099647,,471867c0-706e-4127-b1aa-ff84ebeae8f3
2026-10-23,QTR,20,DUB,DOH,1,,,,false,,2026-10-23T08:15,,,,,,2026-10-23T17:20,,Boeing 787-9,,1E,AISLE,BUSINESS,LEISURE,,b9ec115d-2e57-4eb0-8811-e65b78969011,bbe2cc40-79ca-446a-8105-cbb932b064f0,5dc01a9f-6855-4248-8e7b-0fef83144078,570ae63e-c342-4fdb-b344-554184c13f1b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-10-24,QTR,836,DOH,BKK,,,,,false,,2026-10-24T02:30,,,,,,2026-10-24T13:25,,Airbus A380-800,,1A,WINDOW,FIRST,LEISURE,,84a112cc-aaf2-4e70-992f-e32bbc26f265,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,548d409f-68f7-4450-aaaf-87133919af6d,,c0d25858-9057-4fec-bd89-0c18fd4489d3
2026-10-26,THA,634,BKK,TPE,,,1,,false,,2026-10-26T12:40,,,,,,2026-10-26T17:20,,Boeing 787-8,,,,ECONOMY,,,8ecd5afc-32fb-493a-a2ae-956c9dd4f5af,a0b83fd3-dea9-4db2-a20a-cf6b63e1b6af,548d409f-68f7-4450-aaaf-87133919af6d,1a0ff314-4db9-43eb-aef0-59d40b78505b,,4f948d40-962a-4fdf-b1d9-424282d24f76
2027-01-17,EVA,190,TSA,HND,1,,3,,false,,2027-01-17T16:30,,,,,,2027-01-17T20:20,,Boeing 787-10,,,,,,,61e5c5c5-cdb1-406f-83b0-ffbb841332b6,d03c3f87-0c57-417d-b5b3-e9ac6342545b,9bd91845-9562-46d6-8851-76ee27cb14d4,deceac13-5547-4a5a-9877-06e35ae80304,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2027-01-23,ANA,746,HKD,ITM,,,,,false,,2027-01-23T13:25,,,,,,2027-01-23T15:15,,Airbus A321,,,,,,,21b843ab-bcd0-4093-8b37-96f8fbf598f0,c1ace35c-3515-410b-ad40-219189967eff,ed0a4784-486d-4a26-a388-f8e8dd11dd68,9515bad4-7441-48ae-9d7d-8d477a4f1097,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2027-01-24,EVA,177,KIX,TPE,1,,2,,false,,2027-01-24T10:55,,,,,,2027-01-24T13:10,,Boeing 787-10,,,,,,,c0bde1d5-823e-4f7f-864d-8e73a6eb2e5a,d03c3f87-0c57-417d-b5b3-e9ac6342545b,05f38441-6e21-4f4f-8b90-f6ff8be5f037,1a0ff314-4db9-43eb-aef0-59d40b78505b,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2027-01-30,EVA,891,TPE,HKG,2,,1,,false,,2027-01-30T07:00,,,,,,2027-01-30T09:00,,Boeing 787-10,,6D,AISLE,BUSINESS,LEISURE,,2e510c0a-1ff7-4c8e-9980-5b9012bcd9cc,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,7ee6dd4c-86a8-412a-8fd3-9dc79c771bc9
2012-07-03,TNA,887,TPE,SIN,,,,,false,,2012-07-03T19:20,,,,,,2012-07-03T23:45,,Airbus A320,,,,ECONOMY,LEISURE,,,20125b32-e518-4c4c-a7c8-feea3d469f22,1a0ff314-4db9-43eb-aef0-59d40b78505b,0408c509-a410-4361-806b-eebecfea9bc1,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2012-07-08,TNA,888,SIN,TPE,,,,,false,,2012-07-08T07:20,,,,,,2012-07-08T11:45,,Airbus A320,,,,ECONOMY,LEISURE,,,20125b32-e518-4c4c-a7c8-feea3d469f22,0408c509-a410-4361-806b-eebecfea9bc1,1a0ff314-4db9-43eb-aef0-59d40b78505b,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
